#フレーム,プレハブ名,配置X座標,配置Y座標
100,Enemy1,7,0
120,Enemy1,7,0
140,Enemy1,7,0
160,Enemy1,7,0
180,Enemy1,7,0
200,Enemy1,7,0
220,Enemy1,7,0
240,Enemy1,7,0
260,Enemy1,7,0
280,Enemy1,7,0
300,Enemy1,7,0
600,Enemy1,7,0
620,Enemy1,7,0
640,Enemy1,7,0
660,Enemy1,7,0
680,Enemy1,7,0
700,Enemy1,7,0
720,Enemy1,7,0
740,Enemy1,7,0
760,Enemy1,7,0
780,Enemy1,7,0
800,Enemy1,7,0
1100,Enemy1,7,1
1120,Enemy1,7,1
1140,Enemy1,7,1
1160,Enemy1,7,1
1180,Enemy1,7,1
1200,Enemy1,7,1
1220,Enemy1,7,1
1240,Enemy1,7,1
1260,Enemy1,7,1
1280,Enemy1,7,1
1300,Enemy1,7,1
1400,Fuku,7,0
