#フレーム,タイプ,プレハブ名,X,Y,HP,HPバー表示,スコア,撃破時クリアフラグ,撃破時遷移先フレーム,撃破時生成プレハブ名
10,F,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
140,P,Enemy1,7,0,1,0,50,0,-1,NULL
145,P,Enemy1,7,0.5,1,0,50,0,-1,NULL
150,P,Enemy1,7,1,1,0,50,0,-1,NULL
155,P,Enemy1,7,0,1,0,50,0,-1,NULL
160,P,Enemy1,7,0.5,1,0,50,0,-1,NULL
165,P,Enemy1,7,1,1,0,50,0,-1,NULL
170,P,Enemy1,7,0,1,0,50,0,-1,NULL
175,P,Enemy1,7,0.5,1,0,50,0,-1,NULL
180,P,Enemy1,7,1,1,0,50,0,-1,NULL
185,P,Enemy1,7,0,1,0,50,0,-1,NULL
190,P,Enemy1,7,0.5,1,0,50,0,-1,NULL
195,P,Enemy1,7,1,1,0,50,0,-1,NULL
200,P,Enemy1,7,0,1,0,50,0,-1,NULL
205,P,Enemy1,7,0.5,1,0,50,0,-1,NULL
210,P,Enemy1,7,1,1,0,50,0,-1,NULL
215,P,Enemy1,7,0,1,0,50,0,-1,NULL
220,P,Enemy1,7,0.5,1,0,50,0,-1,NULL
225,P,Enemy1,7,1,1,0,50,0,-1,NULL
230,P,Enemy1,7,0,1,0,50,0,-1,NULL
235,P,Enemy1,7,0.5,1,0,50,0,-1,NULL
240,P,Enemy1,7,1,1,0,50,0,-1,NULL
245,P,Enemy1,7,0,1,0,50,0,-1,NULL
250,P,Enemy1,7,0.5,1,0,50,0,-1,NULL
255,P,Enemy1,7,1,1,0,50,0,-1,NULL
260,P,Enemy1,7,0,1,0,50,0,-1,NULL
265,P,Enemy1,7,0.5,1,0,50,0,-1,NULL
270,P,Enemy1,7,1,1,0,50,0,-1,NULL
275,P,Enemy1,7,0,1,0,50,0,-1,NULL
280,P,Enemy1,7,0.5,1,0,50,0,-1,NULL
285,P,Enemy1,7,1,1,0,50,0,-1,NULL
290,P,Enemy1,7,0,1,0,50,0,-1,NULL
295,P,Enemy1,7,0.5,1,0,50,0,-1,NULL
300,P,Enemy1,7,1,1,0,50,0,-1,NULL
305,P,Enemy1,7,0,1,0,50,0,-1,NULL
310,P,Enemy1,7,0.5,1,0,50,0,-1,NULL
315,P,Enemy1,7,1,1,0,50,0,-1,NULL
500,P,Enemy1,7,1.5,1,0,50,0,-1,NULL
505,P,Enemy1,7,2,1,0,50,0,-1,NULL
510,P,Enemy1,7,2.5,1,0,50,0,-1,NULL
515,P,Enemy1,7,1.5,1,0,50,0,-1,NULL
520,P,Enemy1,7,2,1,0,50,0,-1,NULL
525,P,Enemy1,7,2.5,1,0,50,0,-1,NULL
530,P,Enemy1,7,1.5,1,0,50,0,-1,NULL
535,P,Enemy1,7,2,1,0,50,0,-1,NULL
540,P,Enemy1,7,2.5,1,0,50,0,-1,NULL
545,P,Enemy1,7,0,1,0,50,0,-1,NULL
550,P,Enemy1,7,0.5,1,0,50,0,-1,NULL
555,P,Enemy1,7,1,1,0,50,0,-1,NULL
560,P,Enemy1,7,1.5,1,0,50,0,-1,NULL
565,P,Enemy1,7,2,1,0,50,0,-1,NULL
570,P,Enemy1,7,2.5,1,0,50,0,-1,NULL
575,P,Enemy1,7,0,1,0,50,0,-1,NULL
580,P,Enemy1,7,0.5,1,0,50,0,-1,NULL
585,P,Enemy1,7,1,1,0,50,0,-1,NULL
590,P,Enemy1,7,1.5,1,0,50,0,-1,NULL
595,P,Enemy1,7,2,1,0,50,0,-1,NULL
600,P,Enemy1,7,2.5,1,0,50,0,-1,NULL
605,P,Enemy1,7,0,1,0,50,0,-1,NULL
610,P,Enemy1,7,0.5,1,0,50,0,-1,NULL
615,P,Enemy1,7,1,1,0,50,0,-1,NULL
620,P,Enemy1,7,1.5,1,0,50,0,-1,NULL
625,P,Enemy1,7,2,1,0,50,0,-1,NULL
630,P,Enemy1,7,2.5,1,0,50,0,-1,NULL
635,P,Enemy1,7,0,1,0,50,0,-1,NULL
640,P,Enemy1,7,0.5,1,0,50,0,-1,NULL
645,P,Enemy1,7,1,1,0,50,0,-1,NULL
650,P,Enemy1,7,1.5,1,0,50,0,-1,NULL
655,P,Enemy1,7,2,1,0,50,0,-1,NULL
660,P,Enemy1,7,2.5,1,0,50,0,-1,NULL
665,P,Enemy1,7,0,1,0,50,0,-1,NULL
670,P,Enemy1,7,0.5,1,0,50,0,-1,NULL
675,P,Enemy1,7,1,1,0,50,0,-1,NULL
800,P,Wan,7,2.5,150,0,1200,0,-1,Item1
801,P,Wan,7,-2.5,150,0,1200,0,-1,Item1
2000,P,FukuLv3,7,0,1500,1,50000,1,-1,NULL
