#フレーム,タイプ,プレハブ名,X,Y,HP,HPバー表示,スコア,撃破時クリアフラグ,撃破時遷移先フレーム,撃破時生成プレハブ名
10,F,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,P,Item1,7,0,0,0,0,0,-1,NULL
40,P,Item1,7,0,0,0,0,0,-1,NULL
60,P,Item1,7,0,0,0,0,0,-1,NULL
80,P,Item1,7,0,0,0,0,0,-1,NULL
100,P,Item1,7,0,0,0,0,0,-1,NULL
120,P,Item1,7,0,0,0,0,0,-1,NULL
300,P,Enemy1,7,0,1,0,50,0,-1,NULL
320,P,Enemy1,7,0,1,0,50,0,-1,NULL
340,P,Enemy1,7,0,1,0,50,0,-1,NULL
360,P,Enemy1,7,0,1,0,50,0,-1,NULL
380,P,Enemy1,7,0,1,0,50,0,-1,NULL
400,P,Enemy1,7,0,1,0,50,0,-1,NULL
420,P,Enemy1,7,0,1,0,50,0,-1,NULL
440,P,Enemy1,7,0,1,0,50,0,-1,NULL
460,P,Enemy1,7,0,1,0,50,0,-1,NULL
480,P,Enemy1,7,0,1,0,50,0,-1,NULL
500,P,Enemy1,7,0,1,0,50,0,-1,NULL
520,P,Enemy1,7,0,1,0,50,0,-1,NULL
540,P,Enemy1,7,0,1,0,50,0,-1,NULL
560,P,Enemy1,7,0,1,0,50,0,-1,NULL
580,P,Enemy1,7,0,1,0,50,0,-1,NULL
600,P,Enemy1,7,0,1,0,50,0,-1,NULL
620,P,Enemy1,7,0,1,0,50,0,-1,NULL
640,P,Enemy1,7,0,1,0,50,0,-1,NULL
660,P,Enemy1,7,2,1,0,50,0,-1,NULL
680,P,Enemy1,7,2,1,0,50,0,-1,NULL
700,P,Enemy1,7,2,1,0,50,0,-1,NULL
720,P,Enemy1,7,2,1,0,50,0,-1,NULL
740,P,Enemy1,7,2,1,0,50,0,-1,NULL
760,P,Enemy1,7,2,1,0,50,0,-1,NULL
780,P,Enemy1,7,2,1,0,50,0,-1,NULL
800,P,Enemy1,7,2,1,0,50,0,-1,NULL
820,P,Enemy1,7,2,1,0,50,0,-1,NULL
840,P,Enemy1,7,2,1,0,50,0,-1,NULL
860,P,Enemy1,7,2,1,0,50,0,-1,NULL
880,P,Enemy1,7,2,1,0,50,0,-1,NULL
900,P,Enemy1,7,2,1,0,50,0,-1,NULL
920,P,Enemy1,7,2,1,0,50,0,-1,NULL
940,P,Enemy1,7,2,1,0,50,0,-1,NULL
960,P,Enemy1,7,2,1,0,50,0,-1,NULL
980,P,Enemy1,7,2,1,0,50,0,-1,NULL
1000,P,Enemy1,7,2,1,0,50,0,-1,NULL
1400,P,Enemy1,7,4,1,0,50,0,-1,NULL
1401,P,Enemy1,7,-4,1,0,50,0,-1,NULL
1410,P,Enemy1,7,4,1,0,50,0,-1,NULL
1420,P,Enemy1,7,3.9,1,0,50,0,-1,NULL
1430,P,Enemy1,7,3.8,1,0,50,0,-1,NULL
1440,P,Enemy1,7,3.7,1,0,50,0,-1,NULL
1450,P,Enemy1,7,3.6,1,0,50,0,-1,NULL
1460,P,Enemy1,7,3.5,1,0,50,0,-1,NULL
1470,P,Enemy1,7,3.4,1,0,50,0,-1,NULL
1480,P,Enemy1,7,3.3,1,0,50,0,-1,NULL
1490,P,Enemy1,7,3.2,1,0,50,0,-1,NULL
1500,P,Enemy1,7,3.1,1,0,50,0,-1,NULL
1501,P,Enemy1,7,4,1,0,50,0,-1,NULL
1502,P,Enemy1,7,-4,1,0,50,0,-1,NULL
1510,P,Enemy1,7,3,1,0,50,0,-1,NULL
1520,P,Enemy1,7,2.9,1,0,50,0,-1,NULL
1530,P,Enemy1,7,2.8,1,0,50,0,-1,NULL
1540,P,Enemy1,7,2.7,1,0,50,0,-1,NULL
1550,P,Enemy1,7,2.6,1,0,50,0,-1,NULL
1560,P,Enemy1,7,2.5,1,0,50,0,-1,NULL
1570,P,Enemy1,7,2.4,1,0,50,0,-1,NULL
1580,P,Enemy1,7,2.3,1,0,50,0,-1,NULL
1590,P,Enemy1,7,2.2,1,0,50,0,-1,NULL
1600,P,Enemy1,7,2.1,1,0,50,0,-1,NULL
1610,P,Enemy1,7,2,1,0,50,0,-1,NULL
1620,P,Enemy1,7,1.9,1,0,50,0,-1,NULL
1630,P,Enemy1,7,1.8,1,0,50,0,-1,NULL
